model_id,likes,downloads,last_modified,created_at,pipeline_tag,library,architecture,parameters,type,license,languages,dataset,epochs,batch_size,optimizer,learning_rate
MiniMaxAI/MiniMax-M2.7,1156,1244618,2026-04-20T04:28:14.000Z,2026-04-09T03:37:12.000Z,text-generation,transformers,,22000000.0,base,other,,,,,,
openchat/openchat_3.5,1139,21691,2024-05-18T18:09:11.000Z,2023-10-30T05:59:34.000Z,text-generation,transformers,mistral,7000000000.0,chat,apache-2.0,,,,,,
HuggingFaceH4/zephyr-7b-alpha,1124,4544,2024-10-16T11:53:22.000Z,2023-10-09T08:45:10.000Z,text-generation,transformers,mistral,7000000000.0,base,mit,- en,,1,,"adam with betas=(0.9,0.999) and epsilon=1e-08",
meta-llama/Llama-2-13b-chat-hf,1115,113694,2024-04-17T08:40:58.000Z,2023-07-13T15:11:20.000Z,text-generation,transformers,llama,,chat,,en,,,,,
unsloth/DeepSeek-R1-GGUF,1109,76525,2025-05-30T07:44:07.000Z,2025-01-20T13:09:42.000Z,text-generation,transformers,,20000000000.0,base,mit,- en,,,,,
Nanbeige/Nanbeige4.1-3B,1108,149051,2026-03-25T01:56:21.000Z,2026-02-10T03:45:56.000Z,text-generation,transformers,llama,3000000000.0,base,apache-2.0,- en,,,,,
Qwen/Qwen3-8B,1107,12823764,2025-07-26T03:49:13.000Z,2025-04-27T03:42:21.000Z,text-generation,transformers,qwen,8000000000.0,base,apache-2.0,,,,,,
tiiuae/falcon-7b,1102,389434,2024-10-12T13:20:18.000Z,2023-04-24T16:36:24.000Z,text-generation,transformers,falcon,11000000000.0,base,apache-2.0,- en,,,,,
Qwen/Qwen3-235B-A22B,1093,436332,2025-07-26T03:45:13.000Z,2025-04-27T03:53:46.000Z,text-generation,transformers,qwen,235000000000.0,base,apache-2.0,,,,,,
Qwen/Qwen3-Coder-30B-A3B-Instruct,1082,1861996,2025-12-03T08:05:17.000Z,2025-07-31T07:04:55.000Z,text-generation,transformers,qwen,30000000000.0,instruction-tuned,apache-2.0,,,,,,
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,1065,138184,2025-05-29T13:13:34.000Z,2025-05-29T11:07:47.000Z,text-generation,transformers,qwen,1000000.0,base,mit,,,,,,
tiiuae/falcon-7b-instruct,1032,122907,2024-10-12T13:20:03.000Z,2023-04-25T06:21:01.000Z,text-generation,transformers,falcon,11000000000.0,instruction-tuned,apache-2.0,- en,,,,,
google/gemma-3-270m,1029,5650322,2025-08-14T07:35:01.000Z,2025-08-05T18:50:31.000Z,text-generation,transformers,gemma,,base,,,,,,,
Qwen/Qwen3-Next-80B-A3B-Instruct,1022,378745,2025-09-17T06:57:40.000Z,2025-09-09T15:40:56.000Z,text-generation,transformers,qwen,80000000000.0,instruction-tuned,apache-2.0,,,,,,
deepseek-ai/DeepSeek-V3.1-Base,1010,5248,2025-08-26T08:15:20.000Z,2025-08-19T10:01:00.000Z,text-generation,transformers,,3000000000.0,base,mit,,,,,,
google/functiongemma-270m-it,1002,224739,2026-01-14T09:33:54.000Z,2025-10-08T17:33:31.000Z,text-generation,transformers,gemma,,base,,,,,,,
manycore-research/SpatialLM-Llama-1B,994,223,2025-03-21T05:38:34.000Z,2025-03-14T04:32:01.000Z,text-generation,transformers,llama,1000000000.0,base,llama3.2,,,,,,
deepseek-ai/DeepSeek-V3.2-Exp,993,187309,2025-11-18T02:39:54.000Z,2025-09-29T06:07:26.000Z,text-generation,transformers,,671000000000.0,base,mit,,,,,,
microsoft/Phi-3.5-mini-instruct,982,688880,2025-12-10T20:22:56.000Z,2024-08-16T20:48:26.000Z,text-generation,transformers,phi,3000000.0,instruction-tuned,mit,- multilingual,,,,,
meta-llama/Llama-3.1-405B,976,156950,2024-09-25T17:01:49.000Z,2024-07-16T01:29:54.000Z,text-generation,transformers,llama,,base,,"en,de,fr,it,pt,es",,,,,
microsoft/Phi-3-vision-128k-instruct,971,266303,2025-12-10T20:23:49.000Z,2024-05-19T15:07:39.000Z,text-generation,transformers,phi,3000000.0,instruction-tuned,mit,- multilingual,,,,,
google/gemma-3-1b-it,969,1376992,2025-04-04T13:12:40.000Z,2025-03-10T12:09:00.000Z,text-generation,transformers,gemma,,base,,,,,,,
HuggingFaceTB/SmolLM3-3B,961,390790,2025-09-10T12:28:11.000Z,2025-07-08T10:11:45.000Z,text-generation,transformers,,3000000000.0,base,apache-2.0,- en,,,,,
deepseek-ai/DeepSeek-R1-Zero,956,8078,2025-03-27T04:02:04.000Z,2025-01-20T03:35:48.000Z,text-generation,transformers,,1000000000.0,base,mit,,,,,,
Qwen/Qwen2.5-72B-Instruct,941,881183,2025-01-12T02:07:38.000Z,2024-09-16T11:56:31.000Z,text-generation,transformers,qwen,72000000000.0,instruction-tuned,other,- en,,,,,
meta-llama/Llama-3.1-70B-Instruct,920,748723,2024-12-15T01:55:33.000Z,2024-07-16T16:07:46.000Z,text-generation,transformers,llama,,instruction-tuned,,"en,de,fr,it,pt,es",,,,,
teknium/OpenHermes-2.5-Mistral-7B,901,6283,2024-02-19T17:53:06.000Z,2023-10-29T20:36:39.000Z,text-generation,transformers,mistral,7000000000.0,base,apache-2.0,- en,,,,,
google/gemma-2b-it,896,62242,2024-09-27T12:19:02.000Z,2024-02-08T13:23:59.000Z,text-generation,transformers,gemma,,base,,,,,,,
